frame,start_time,end_time,age,gen,emotion,age_classes,severity_score
304,20.2229798,20.2896464,32,F,Sad,2,2
305,20.2896464,20.356313,32,F,Sad,2,2
306,20.356313,20.4229796,30,M,Sad,2,2
307,20.4229796,20.4896462,31,F,Sad,2,2
308,20.4896462,20.5563128,31,M,Sad,2,2
309,20.5563128,20.6229794,32,M,Sad,2,2
310,20.6229794,20.689646,31,F,Sad,2,2
311,20.689646,20.7563126,31,F,Sad,2,2
312,20.7563126,20.8229792,32,F,Sad,2,2
313,20.8229792,20.8896458,33,M,Sad,2,2
314,20.8896458,20.9563124,33,M,Sad,2,2
315,20.9563124,21.022979,32,F,Sad,2,2
316,21.022979,21.0896456,32,M,Sad,2,2
318,21.1563122,21.2229788,32,M,Sad,2,2
320,21.2896454,21.356312000000003,31,M,Sad,2,2
321,21.356312000000003,21.4229786,32,M,Sad,2,2
322,21.4229786,21.4896452,32,M,Sad,2,2
323,21.4896452,21.5563118,32,M,Sad,2,2
324,21.5563118,21.6229784,32,M,Sad,2,2
325,21.6229784,21.689645,32,M,Sad,2,2
326,21.689645,21.7563116,32,M,Sad,2,2
328,21.8229782,21.8896448,31,M,Sad,2,2
330,21.9563114,22.022978,31,M,Sad,2,2
356,23.689643,23.7563096,32,M,Sad,2,2
357,23.7563096,23.8229762,32,M,Sad,2,2
358,23.8229762,23.8896428,31,M,Sad,2,2
359,23.8896428,23.9563094,31,M,Sad,2,2
360,23.9563094,24.022976,31,M,Sad,2,2
361,24.022976,24.0896426,31,M,Sad,2,2
362,24.0896426,24.1563092,32,M,Sad,2,2
363,24.1563092,24.2229758,31,M,Sad,2,2
365,24.2896424,24.356309,31,M,Sad,2,2
468,31.1563022,31.2229688,33,M,Happy,2,1
488,32.4896342,32.5563008,36,M,Sad,2,2
509,33.8896328,33.956299400000006,32,M,Sad,2,2
510,33.956299400000006,34.022966000000004,32,F,Sad,2,2
511,34.022966000000004,34.089632599999995,33,M,Sad,2,2
512,34.089632599999995,34.1562992,33,M,Sad,2,2
523,34.8229652,34.889631800000004,36,M,Sad,2,2
568,37.8229622,37.8896288,37,F,Neutral,2,1
686,45.689621,45.7562876,34,F,Neutral,2,1
687,45.7562876,45.8229542,32,F,Sad,2,2
688,45.8229542,45.8896208,32,F,Sad,2,2
689,45.8896208,45.9562874,32,F,Sad,2,2
690,45.9562874,46.022954,31,F,Sad,2,2
691,46.022954,46.0896206,31,F,Sad,2,2
692,46.0896206,46.1562872,30,F,Sad,2,2
693,46.1562872,46.222953800000006,31,F,Sad,2,2
694,46.222953800000006,46.2896204,31,F,Sad,2,2
695,46.2896204,46.356287,31,F,Sad,2,2
696,46.356287,46.4229536,32,F,Sad,2,2
697,46.4229536,46.4896202,31,F,Sad,2,2
698,46.4896202,46.5562868,31,F,Sad,2,2
699,46.5562868,46.6229534,32,F,Sad,2,2
700,46.6229534,46.689620000000005,31,F,Neutral,2,1
701,46.689620000000005,46.7562866,30,F,Neutral,2,1
748,49.8229502,49.889616800000006,35,F,Sad,2,2
867,57.7562756,57.8229422,33,M,Sad,2,2
923,61.4896052,61.556271800000005,34,F,Sad,2,2
966,64.356269,64.4229356,35,F,Sad,2,2
967,64.4229356,64.48960220000001,34,F,Sad,2,2
